time	type	info
63625414621130.734	scanner	TR: 052/210
63625414621308.625	experiment	feedback (y, 2/4)
63625414623130.312	scanner	TR: 053/210
63625414623959.648	info	autosave (529ms)
63625414625129.000	scanner	TR: 054/210
63625414627129.148	scanner	TR: 055/210
63625414629129.555	scanner	TR: 056/210
63625414631130.719	scanner	TR: 057/210
63625414631134.961	experiment	block 5 start
63625414633129.195	scanner	TR: 058/210
63625414635129.703	scanner	TR: 059/210
63625414637130.734	scanner	TR: 060/210
63625414637990.445	buttonbox	pressed: responseud
63625414639129.859	scanner	TR: 061/210
63625414640814.117	buttonbox	pressed: responseud
63625414641131.250	scanner	TR: 062/210
63625414642843.312	buttonbox	pressed: responseud
63625414643131.250	scanner	TR: 063/210
63625414643442.711	experiment	fixations correct: 3/3 (100%)
63625414645130.266	scanner	TR: 064/210
63625414646576.469	buttonbox	pressed: responselrud
63625414647130.734	scanner	TR: 065/210
63625414647318.719	experiment	feedback (y, 3/5)
63625414649131.516	scanner	TR: 066/210
63625414649889.609	info	autosave (547ms)
63625414651129.438	scanner	TR: 067/210
63625414653129.539	scanner	TR: 068/210
63625414655129.703	scanner	TR: 069/210
63625414657129.531	scanner	TR: 070/210
63625414657133.750	experiment	block 6 start
63625414659131.422	scanner	TR: 071/210
63625414661132.477	scanner	TR: 072/210
63625414663129.461	scanner	TR: 073/210
63625414664265.547	buttonbox	pressed: responseud
63625414665130.570	scanner	TR: 074/210
63625414666293.406	buttonbox	pressed: responseud
63625414667130.930	scanner	TR: 075/210
63625414668907.523	buttonbox	pressed: responseud
63625414669129.898	scanner	TR: 076/210
63625414670442.305	buttonbox	pressed: responseud
63625414671055.602	experiment	fixations correct: 4/4 (100%)
63625414671131.977	scanner	TR: 077/210
63625414672611.641	buttonbox	pressed: responselrud
63625414673130.930	scanner	TR: 078/210
63625414673295.164	experiment	feedback (y, 4/6)
63625414675129.359	scanner	TR: 079/210
63625414675933.148	info	autosave (519ms)
63625414677129.805	scanner	TR: 080/210
63625414679129.211	scanner	TR: 081/210
63625414681132.078	scanner	TR: 082/210
63625414683129.391	scanner	TR: 083/210
63625414683133.570	experiment	block 7 start
63625414685130.188	scanner	TR: 084/210
63625414687130.461	scanner	TR: 085/210
63625414689130.648	scanner	TR: 086/210
63625414690166.328	buttonbox	pressed: responseud
63625414691130.289	scanner	TR: 087/210
63625414691879.516	buttonbox	pressed: responseud
63625414693130.352	scanner	TR: 088/210
63625414693880.492	buttonbox	pressed: responseud
63625414695130.719	scanner	TR: 089/210
63625414695870.508	buttonbox	pressed: responseud
63625414696594.203	experiment	fixations correct: 4/4 (100%)
63625414697128.883	scanner	TR: 090/210
63625414698449.102	buttonbox	pressed: responselrud
63625414699129.227	scanner	TR: 091/210
63625414699287.875	experiment	feedback (y, 5/7)
63625414701133.414	scanner	TR: 092/210
63625414701964.578	info	autosave (527ms)
63625414703128.594	scanner	TR: 093/210
63625414705131.367	scanner	TR: 094/210
63625414707131.180	scanner	TR: 095/210
63625414709131.297	scanner	TR: 096/210
63625414709135.469	experiment	block 8 start
63625414711129.430	scanner	TR: 097/210
63625414713133.289	scanner	TR: 098/210
63625414715130.562	scanner	TR: 099/210
63625414716066.773	buttonbox	pressed: responseud
63625414717129.305	scanner	TR: 100/210
63625414718623.406	buttonbox	pressed: responseud
63625414719129.398	scanner	TR: 101/210
63625414721129.562	scanner	TR: 102/210
63625414721667.875	buttonbox	pressed: responseud
63625414722402.695	experiment	fixations correct: 3/3 (100%)
63625414723128.992	scanner	TR: 103/210
63625414724374.523	buttonbox	pressed: responselrud
63625414725128.367	scanner	TR: 104/210
63625414725301.648	experiment	feedback (y, 6/8)
63625414727129.156	scanner	TR: 105/210
63625414727906.969	info	autosave (524ms)
63625414729131.422	scanner	TR: 106/210
63625414731132.102	scanner	TR: 107/210
63625414733130.227	scanner	TR: 108/210
63625414735131.094	scanner	TR: 109/210
63625414735135.336	experiment	block 9 start
63625414737131.117	scanner	TR: 110/210
63625414739130.016	scanner	TR: 111/210
63625414741130.570	scanner	TR: 112/210
63625414742296.352	buttonbox	pressed: responseud
63625414743128.914	scanner	TR: 113/210
63625414745127.555	buttonbox	pressed: responseud
63625414745131.352	scanner	TR: 114/210
63625414746960.195	buttonbox	pressed: responseud
63625414747129.289	scanner	TR: 115/210
63625414747516.500	experiment	fixations correct: 3/3 (100%)
63625414749130.891	scanner	TR: 116/210
63625414750515.047	buttonbox	pressed: responselrud
63625414751128.953	scanner	TR: 117/210
63625414751297.656	experiment	feedback (y, 7/9)
63625414753128.664	scanner	TR: 118/210
63625414753964.086	info	autosave (533ms)
63625414755131.133	scanner	TR: 119/210
63625414757131.445	scanner	TR: 120/210
63625414759131.164	scanner	TR: 121/210
63625414761131.891	scanner	TR: 122/210
63625414761136.102	experiment	block 10 start
63625414763128.359	scanner	TR: 123/210
63625414765129.875	scanner	TR: 124/210
63625414767129.961	scanner	TR: 125/210
63625414767468.594	buttonbox	pressed: responseud
63625414768925.555	buttonbox	pressed: responseud
63625414769130.523	scanner	TR: 126/210
63625414770539.930	buttonbox	pressed: responseud
63625414771129.367	scanner	TR: 127/210
63625414773128.500	scanner	TR: 128/210
63625414773679.336	buttonbox	pressed: responseud
63625414774091.789	experiment	fixations correct: 4/4 (100%)
63625414775128.508	scanner	TR: 129/210
63625414776608.203	buttonbox	pressed: responselrud
63625414777128.336	scanner	TR: 130/210
63625414777302.008	experiment	feedback (y, 8/10)
63625414779130.117	scanner	TR: 131/210
63625414779914.969	info	autosave (513ms)
63625414781129.516	scanner	TR: 132/210
63625414783132.016	scanner	TR: 133/210
63625414785131.344	scanner	TR: 134/210
63625414787128.203	scanner	TR: 135/210
63625414787132.375	experiment	block 11 start
63625414789130.578	scanner	TR: 136/210
63625414791129.312	scanner	TR: 137/210
63625414793128.266	scanner	TR: 138/210
63625414793492.219	buttonbox	pressed: responseud
63625414795129.547	scanner	TR: 139/210
63625414796258.859	buttonbox	pressed: responseud
63625414797129.688	scanner	TR: 140/210
63625414798305.266	buttonbox	pressed: responseud
63625414799128.305	scanner	TR: 141/210
63625414800173.398	buttonbox	pressed: responseud
63625414800923.797	experiment	fixations correct: 4/4 (100%)
63625414801128.938	scanner	TR: 142/210
63625414802672.312	buttonbox	pressed: responselrud
63625414803127.891	scanner	TR: 143/210
63625414803299.203	experiment	feedback (y, 9/11)
63625414805128.555	scanner	TR: 144/210
63625414805932.539	info	autosave (503ms)
63625414807130.062	scanner	TR: 145/210
63625414809131.219	scanner	TR: 146/210
63625414811131.242	scanner	TR: 147/210
63625414813131.586	scanner	TR: 148/210
63625414813136.078	experiment	block 12 start
63625414815131.492	scanner	TR: 149/210
63625414817130.438	scanner	TR: 150/210
63625414819128.281	scanner	TR: 151/210
63625414819553.547	buttonbox	pressed: responseud
63625414821128.055	scanner	TR: 152/210
63625414821203.484	buttonbox	pressed: responseud
63625414823127.930	scanner	TR: 153/210
63625414823173.258	buttonbox	pressed: responseud
63625414824895.898	buttonbox	pressed: responseud
63625414825128.305	scanner	TR: 154/210
63625414825363.141	experiment	fixations correct: 4/4 (100%)
63625414827128.430	scanner	TR: 155/210
63625414828428.586	buttonbox	pressed: responselrud
63625414829128.844	scanner	TR: 156/210
