Run 1,,
1,1,63627186544519
2,2,63627186546947.4
3,3,63627186548519.4
4,4,63627186550519.3
5,5,63627186552519.4
6,6,63627186554519.9
7,7,63627186556522.8
8,8,63627186558519.8
9,9,63627186560519.4
10,10,63627186562520
11,11,63627186564519.4
12,12,63627186566519.9
13,13,63627186568520.7
14,14,63627186570520.6
15,15,63627186572519.7
16,16,63627186574522.2
17,17,63627186576520.4
18,18,63627186578519.5
19,19,63627186580521
20,20,63627186582521.6
21,21,63627186584518.9
22,22,63627186586519.3
23,23,63627186588521.9
24,24,63627186590522.5
25,25,63627186592519.1
26,26,63627186594519.3
27,27,63627186596520.7
28,28,63627186598521
29,29,63627186600519.8
30,30,63627186602519.1
31,31,63627186604522.2
32,32,63627186606519.5
33,33,63627186608520
34,34,63627186610519.1
35,35,63627186612518.8
36,36,63627186614519.1
37,37,63627186616520.4
38,38,63627186618521.7
39,39,63627186620521.2
40,40,63627186622518.8
41,41,63627186624518.6
42,42,63627186626520.6
43,43,63627186628521.9
44,44,63627186630522.3
45,45,63627186632521
46,46,63627186634520.6
47,47,63627186636519.2
48,48,63627186638519.7
49,49,63627186640519.3
50,50,63627186642518.3
51,51,63627186644521.8
52,52,63627186646518.5
53,53,63627186648518.6
54,54,63627186650520.4
55,55,63627186652518.4
56,56,63627186654518.6
57,57,63627186656519.2
58,58,63627186658521.8
59,59,63627186660521.7
60,60,63627186662518.3
61,61,63627186664520.8
62,62,63627186666520.6
63,63,63627186668520.1
64,64,63627186670518.8
65,65,63627186672520.5
66,66,63627186674518.6
67,67,63627186676520.5
68,68,63627186678520.9
69,69,63627186680520.2
70,70,63627186682519.5
71,71,63627186684518.6
72,72,63627186686518.8
73,73,63627186688519.6
74,74,63627186690519.6
75,75,63627186692519.9
76,76,63627186694520.5
77,77,63627186696518.9
78,78,63627186698520.5
79,79,63627186700518.7
80,80,63627186702518.3
81,81,63627186704518.4
82,82,63627186706520
83,83,63627186708520.2
84,84,63627186710520
85,85,63627186712519.5
86,86,63627186714519.3
87,87,63627186716520.4
88,88,63627186718518.7
89,89,63627186720520.6
90,90,63627186722518.4
91,91,63627186724520.6
92,92,63627186726520.4
93,93,63627186728518.5
94,94,63627186730520.6
95,95,63627186732518.6
96,96,63627186734518.9
97,97,63627186736520.7
98,98,63627186738518.7
99,99,63627186740519.2
100,100,63627186742518.7
101,101,63627186744518.8
102,102,63627186746518.2
103,103,63627186748520.2
104,104,63627186750518.3
105,105,63627186752521.5
106,106,63627186754519.3
107,107,63627186756520.5
108,108,63627186758519.4
109,109,63627186760518.9
110,110,63627186762517.8
111,111,63627186764520.2
112,112,63627186766518.5
113,113,63627186768520.3
114,114,63627186770518.9
115,115,63627186772518
116,116,63627186774520.8
117,117,63627186776519.9
118,118,63627186778519
119,119,63627186780518.8
120,120,63627186782519
121,121,63627186784519.1
122,122,63627186786518.4
123,123,63627186788518.4
124,124,63627186790520.6
125,125,63627186792518.1
126,126,63627186794520
127,127,63627186796519.7
128,128,63627186798518.7
129,129,63627186800519.3
130,130,63627186802518.1
131,131,63627186804520.7
132,132,63627186806519.8
133,133,63627186808520.9
134,134,63627186810518.8
135,135,63627186812518
136,136,63627186814518.1
137,137,63627186816520.1
138,138,63627186818517.9
139,139,63627186820519.4
140,140,63627186822519
141,141,63627186824519.8
142,142,63627186826517.9
143,143,63627186828517.4
144,144,63627186830517.7
145,145,63627186832517.7
146,146,63627186834520.9
147,147,63627186836520.8
148,148,63627186838518.7
149,149,63627186840517.6
150,150,63627186842517.5
151,151,63627186844518.2
152,152,63627186846519.8
153,153,63627186848521.1
154,154,63627186850517.8
155,155,63627186852517.6
156,156,63627186854517.8
157,157,63627186856519
158,158,63627186858520.8
159,159,63627186860517.4
160,160,63627186862520.7
161,161,63627186864520.7
162,162,63627186866519.4
163,163,63627186868518.2
164,164,63627186870519.1
165,165,63627186872517.6
166,166,63627186874519.5
167,167,63627186876517.7
168,168,63627186878518.2
169,169,63627186880519.2
170,170,63627186882519
171,171,63627186884517.7
172,172,63627186886517.5
173,173,63627186888519.6
174,174,63627186890518.9
175,175,63627186892518.8
176,176,63627186894517.5
177,177,63627186896518.3
178,178,63627186898517.7
179,179,63627186900518
180,180,63627186902518.5
181,181,63627186904520.9
182,182,63627186906517.8
183,183,63627186908519.6
184,184,63627186910517.5
185,185,63627186912519
186,186,63627186914519.9
187,187,63627186916519
188,188,63627186918518.9
189,189,63627186920517.6
190,190,63627186922518.8
191,191,63627186924517.8
192,192,63627186926519.3
193,193,63627186928517.8
194,194,63627186930518.9
195,195,63627186932517.2
196,196,63627186934518.3
197,197,63627186936519
198,198,63627186938518.8
199,199,63627186940517.2
200,200,63627186942518.9
201,201,63627186944517.3
202,202,63627186946519
203,203,63627186948517.6
204,204,63627186950517.6
205,205,63627186952517.3
206,206,63627186954518.5
207,207,63627186956517.5
208,208,63627186958518.1
209,209,63627186960517
210,210,63627186962519.4
Run 2,,
1,1,63627187063873.3
