25, 63626904350679.641;
26, 63626904352677.992;
27, 63626904354679.234;
28, 63626904356679.695;
29, 63626904358678.781;
30, 63626904360679.719;
31, 63626904362679.422;
32, 63626904364680.242;
33, 63626904366680.688;
34, 63626904368679.164;
35, 63626904370678.125;
36, 63626904372678.000;
37, 63626904374678.125;
38, 63626904376679.734;
39, 63626904378676.945;
40, 63626904380679.469;
41, 63626904382679.656;
42, 63626904384679.727;
43, 63626904386677.578;
44, 63626904388679.664;
45, 63626904390677.336;
46, 63626904392678.086;
47, 63626904394679.102;
48, 63626904396677.195;
49, 63626904398677.227;
50, 63626904400677.305;
51, 63626904402677.062;
52, 63626904404677.578;
53, 63626904406678.500;
54, 63626904408677.578;
55, 63626904410677.312;
56, 63626904412679.727;
57, 63626904414680.008;
58, 63626904416677.383;
59, 63626904418678.930;
60, 63626904420678.781;
61, 63626904422678.039;
62, 63626904424678.891;
63, 63626904426678.805;
64, 63626904428677.102;
65, 63626904430677.078;
66, 63626904432677.508;
67, 63626904434677.805;
68, 63626904436679.703;
69, 63626904438678.281;
70, 63626904440677.852;
71, 63626904442678.492;
72, 63626904444677.156;
73, 63626904446678.312;
74, 63626904448677.375;
75, 63626904450677.883;
76, 63626904452677.961;
77, 63626904454678.656;
78, 63626904456677.812;
79, 63626904458677.539;
80, 63626904460676.750;
81, 63626904462677.273;
82, 63626904464678.305;
83, 63626904466676.367;
84, 63626904468680.188;
85, 63626904470677.000;
86, 63626904472677.852;
87, 63626904474678.062;
88, 63626904476676.797;
89, 63626904478676.406;
90, 63626904480676.523;
91, 63626904482678.531;
92, 63626904484677.836;
93, 63626904486676.391;
94, 63626904488678.211;
95, 63626904490676.766;
96, 63626904492678.391;
97, 63626904494678.359;
98, 63626904496679.531;
99, 63626904498677.664;
100, 63626904500676.266;
101, 63626904502678.094;
102, 63626904504678.359;
103, 63626904506678.633;
104, 63626904508677.320;
105, 63626904510679.195;
106, 63626904512679.812;
107, 63626904514676.961;
108, 63626904516676.281;
109, 63626904518678.242;
110, 63626904520679.414;
111, 63626904522678.469;
112, 63626904524676.391;
113, 63626904526676.258;
114, 63626904528678.352;
115, 63626904530676.742;
116, 63626904532676.711;
117, 63626904534677.422;
118, 63626904536678.148;
119, 63626904538679.656;
120, 63626904540676.336;
121, 63626904542679.086;
122, 63626904544679.758;
123, 63626904546675.875;
124, 63626904548678.742;
125, 63626904550676.688;
126, 63626904552676.406;
127, 63626904554677.930;
128, 63626904556677.422;
129, 63626904558678.203;
130, 63626904560676.367;
131, 63626904562678.195;
132, 63626904564676.367;
133, 63626904566676.320;
134, 63626904568679.734;
135, 63626904570677.695;
136, 63626904572679.586;
137, 63626904574675.781;
138, 63626904576677.578;
139, 63626904578677.031;
140, 63626904580678.492;
141, 63626904582677.281;
142, 63626904584678.656;
143, 63626904586679.000;
144, 63626904588677.078;
145, 63626904590676.219;
146, 63626904592676.539;
147, 63626904594676.062;
148, 63626904596677.031;
149, 63626904598678.188;
150, 63626904600676.102;
